PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Activation at 7.6 uM,Standard Deviation,Activation at 7.6 uM [1],Activation at 7.6 uM [2],Activation at 7.6 uM [3]
RESULT_TYPE,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,Normalized percent activation of the confirmation screen at a compound concentration of 7.6 uM.,Standard deviation derived from the normalized percent activation of the triplicate data for each compound,Percent activation of the confirmation screen at a compound concentration of 7.6 uM; replicate [1].,Percent activation of the confirmation screen at a compound concentration of 7.6 uM; replicate [2].,Percent activation of the confirmation screen at a compound concentration of 7.6 uM; replicate [3].
RESULT_UNIT,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
202,24779857,2562875,Active,31,,,55.92,1.89177,54.9845,58.5577,54.2159
203,49666418,60795,Active,30,,,55.38,8.45355,67.2913,48.5194,50.3361
204,14734974,518485,Active,30,,,55.11,4.67245,49.7985,61.1693,54.3565
205,843850,646155,Active,30,,,54.39,5.70222,60.2089,46.6479,56.3256
206,4244770,3239323,Active,30,,,54.27,5.28616,55.4901,60.0412,47.2675
207,24798683,16190354,Active,30,,,54.18,7.09953,47.6424,50.8547,64.0498
208,24838253,3238607,Active,30,,,53.94,7.45313,52.4319,63.7238,45.6545
209,14736484,765042,Active,29,,,53.3,5.0056,46.5522,58.5234,54.8335
210,24828779,5047011,Active,29,,,53.26,6.70267,53.7439,44.8223,61.2191
211,56463528,6419942,Active,29,,,52.84,3.29342,48.229,54.584,55.71
212,89854341,260315,Active,29,,,52.51,7.12899,57.7242,42.4255,57.3662
213,26731717,2744894,Active,28,,,51.8,6.06625,58.7174,52.7312,43.9463
214,17513062,12005688,Active,28,,,51.39,3.62974,48.2739,49.4253,56.4846
215,121285040,51360401,Active,28,,,51.21,2.49862,54.5076,50.6728,48.4593
216,24782281,135460457,Active,28,,,51.2,4.6567,49.7433,46.371,57.4939
217,99454408,472130,Active,28,,,50.94,7.94204,60.6099,41.1569,51.0423
218,49666869,16007420,Active,28,,,50.91,5.54158,53.5904,43.1922,55.9477
219,26660512,3575923,Active,28,,,50.6,3.96385,45.3339,54.899,51.5609
220,857673,6603611,Active,28,,,50.44,1.30722,52.0519,50.4138,48.8502
221,47198899,1206031,Active,27,,,50.14,1.25789,51.5555,50.3732,48.5002
222,87349634,3238518,Active,27,,,50.05,2.5891,46.9305,53.2704,49.9611
223,24837652,9671489,Active,27,,,49.73,3.40668,54.2453,48.9162,46.0197
224,56463227,5359,Active,27,,,49.49,6.07534,43.5887,57.8496,47.0362
225,26732088,16746278,Active,27,,,49.09,3.06191,50.878,44.7804,51.6111
226,56463263,11957599,Active,27,,,49,5.25476,41.5785,53.0243,52.4007
227,51085414,16809913,Active,26,,,48.3,3.9349,51.3835,50.7691,42.7461
228,85269516,4030967,Active,26,,,48.16,12.3304,65.5684,40.268,38.632
229,861529,662767,Active,26,,,47.55,5.17551,51.5021,40.2354,50.9018
230,11532861,6852375,Active,26,,,47.51,3.9723,43.5248,52.933,46.0793
231,22413895,10546192,Active,26,,,46.98,6.38609,53.4878,38.3053,49.1583
232,85267962,16293042,Active,26,,,46.86,5.97043,47.8843,53.5991,39.0836
233,14747070,2079950,Active,26,,,46.77,9.56631,39.0843,40.9638,60.2519
234,855560,5284443,Active,26,,,46.72,0.826444,45.9527,46.337,47.8661
235,22403201,2770553,Active,25,,,46.02,3.84384,45.3461,41.6789,51.0226
236,4254671,2983279,Active,25,,,45.63,9.91157,59.5544,40.0605,37.2749
237,24840209,2999575,Active,25,,,45.61,2.49845,48.5829,45.7806,42.47
238,14736371,2903440,Active,25,,,45.36,3.23832,42.0005,49.7333,44.3361
239,17516778,3954803,Active,25,,,45.36,3.09853,41.302,48.8234,45.9433
240,14735585,4226151,Active,25,,,45.25,3.07929,47.1957,47.6552,40.9054
241,11533071,9367,Active,25,,,44.79,0.913533,45.6751,45.1683,43.5342
242,47199369,23723902,Active,24,,,44.55,6.80499,42.2205,37.6231,53.7974
243,49643463,1462216,Active,24,,,44.45,6.87467,54.1342,38.8536,40.366
244,121286579,68938,Active,24,,,44.26,6.86178,49.1954,34.5602,49.0356
245,24800050,16191719,Active,24,,,44,3.04145,45.4328,39.7734,46.799
246,17506357,5395535,Active,24,,,43.4,5.22593,46.8893,47.2882,36.0083
247,47197359,23723527,Active,24,,,43.36,3.7198,47.725,43.7163,38.6344
248,103060100,26411173,Active,23,,,42.86,3.4839,37.9922,45.9356,44.665
249,85270050,8742514,Active,23,,,42.16,3.03611,43.2978,45.1761,38.0052
250,17433430,5737733,Active,23,,,42.14,16.5452,34.7412,65.0667,26.6205
251,4257953,1500638,Active,23,,,41.62,3.0911,38.7206,40.2434,45.9052
252,24787082,2913637,Active,23,,,41.54,5.41653,36.8733,38.6025,49.1301
253,4244345,3238956,Active,23,,,41.42,3.39399,39.1996,46.2201,38.8537
254,7974690,2056866,Active,23,,,41.36,4.79301,34.6089,45.2381,44.2413
255,856146,66259,Active,23,,,41.21,2.81178,38.7494,45.1418,39.7251
256,24840224,2998739,Active,22,,,41.17,7.45399,47.001,30.6519,45.8663
257,121286195,51361442,Active,22,,,40.55,3.91278,37.5067,46.0718,38.0645
258,49677566,24761849,Active,22,,,40.16,6.21413,48.8253,37.0908,34.5618
259,22411890,986574,Active,22,,,40.13,9.75716,53.9296,33.1926,33.2707
260,56422772,54686764,Active,22,,,40.09,2.23431,38.8128,38.231,43.2347
261,24785059,16188620,Active,22,,,40.03,5.35293,38.6969,34.2412,47.1486
262,92763785,365677,Active,22,,,39.81,1.0416,41.2794,38.9948,39.1534
263,56463192,10042240,Active,22,,,39.79,3.81041,43.1046,34.4549,41.8168
264,56422899,71401,Active,22,,,39.75,1.90805,39.9694,37.3105,41.9687
265,22407280,5679720,Active,22,,,39.58,3.97001,45.1242,37.583,36.0364
266,14736555,2966655,Active,21,,,39.02,5.11291,42.8246,42.4433,31.7928
267,24791080,1115796,Active,21,,,38.94,2.37508,41.8041,39.0197,35.9881
268,47202756,23724318,Active,21,,,38.84,2.92876,35.5644,42.6737,38.287
269,14738713,9551559,Active,21,,,38.79,1.58733,38.0708,40.9945,37.3128
270,46500446,170617,Active,21,,,38.77,2.69991,41.68,39.4681,35.1765
271,17402837,1482771,Active,21,,,38.62,8.68528,35.6345,29.7912,50.4285
272,121285118,51360473,Active,21,,,38.46,3.12226,42.4721,34.859,38.034
273,851682,6602636,Active,21,,,38.11,7.68738,28.6106,47.4384,38.2848
274,93576596,20833557,Active,21,,,38.09,1.68998,40.0345,38.3334,35.9157
275,24798538,16190209,Active,21,,,37.69,3.83375,39.0854,41.5286,32.4545
276,121283541,340019,Active,20,,,37.13,3.45183,39.6159,39.5302,32.251
277,14733413,5055611,Active,20,,,37.13,4.53616,31.2078,42.2262,37.9582
278,22400538,6870710,Active,20,,,36.87,17.3486,57.4688,15.0278,38.1065
279,93576648,390807,Active,20,,,36.56,3.49778,41.5043,34.2384,33.9394
280,99358074,59286,Active,20,,,36.51,3.77252,34.4606,41.805,33.2761
281,14724563,670803,Active,20,,,36.38,6.44908,27.4055,39.458,42.2754
282,51085427,16809938,Active,20,,,36.37,4.59255,41.1617,37.778,30.1788
283,49717022,24789931,Active,20,,,36.09,0.364711,35.9755,35.7046,36.5773
284,17414328,11958892,Active,20,,,35.9,3.92723,40.5035,30.9084,36.3018
285,46500406,23640916,Active,20,,,35.86,6.67181,35.9711,27.6293,43.9707
286,855873,1832,Active,20,,,35.84,4.65985,35.8919,41.5247,30.1107
287,14742980,1945982,Active,19,,,35.77,4.51544,42.0241,31.5347,33.7412
288,24823228,9609502,Active,19,,,35.55,1.06273,35.8766,34.1222,36.6648
289,99357374,46903215,Active,19,,,34.97,14.1952,24.0958,25.8023,55.0254
290,121285101,51360457,Active,19,,,34.81,2.52231,33.1078,32.9391,38.3721
291,26728553,2747478,Active,19,,,34.5,4.57079,39.4841,35.5688,28.4425
292,49679013,1988040,Active,19,,,34.29,1.38407,36.2459,33.2161,33.4135
293,56463458,11957685,Active,18,,,33.95,7.68756,42.4615,23.8368,35.554
