SMILES,PUBCHEM_ACTIVITY_OUTCOME
CC(=O)C1=CC(=CC=C1)OCC(CNCC2COC3=CC=CC=C3O2)O.C(=O)(C(=O)O)O,1
C1=CC=C2C(=C1)C(=C3C=CC=CC3=N2)NCCC4=CC(=C(C=C4)O)O.Cl,1
CC1CCN(CC1)C(=O)CN2C(=O)C3=CC4=C(N3C(=N2)C)C=CC=C4OC,1
CC1=CC(=C(C=C1)OC)NC(=O)CCN2CCN(CC2)C3=CC=CC=C3F.Cl,1
CC1=C(C(=CC=C1)C)N2C(=NN=N2)C(C3CC3)N4CCN(CC4)C/C=C/C5=CC=CC=C5,1
C1CN(CCN1CC2CC3CC2C=C3)C4=CC=CC=C4,1
CC1=CC(=C(C(=C1)C2=NNC3=C2C(N(C3=O)CC4=CC=CO4)C5=CC(=CC=C5)O)O)C,1
CCOC(=O)N1CCN(CC1)C/C(=C/C2=CC=CC=C2)/C,1
CC1=C(OC2=C1C=C(C=C2)OC)C(=O)NC3=NC4=CC=CC=C4N3,1
C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,1
CC(CC1=CNC2=C1C=C(C=C2)Cl)N.Cl,1
C1CN(CCN1CCCCN2C(=O)C3=CC=CC=C3C2=O)C(=O)C4=CC=CO4,1
CCS(=O)(=O)N1CCC(CC1)C(=O)NCCCN2CCN(CC2)C3=CC=CC=C3F,1
CCOC(=O)N1CCC(CC1)N2CCCC(C2)C(=O)C3=CC=CC=C3OC,1
C1CC(C1)C(=O)N2CCC3=C2C=CC(=C3)S(=O)(=O)NCCN4CCN(CC4)C5=CC=CC=C5F,1
C1CN(CCN1CC2=CC=CC=C2Cl)C3=CC=CC=C3,1
C1CCC(CC1)N(C2=CC=CC=N2)C(=O)C3=CC(=CC=C3)C(=O)N(C4CCCCC4)C5=CC=CC=N5,1
CN1CCC2=CC3=C(C(=C2C1)OC)OCO3.Br,1
CC1=CC(=CC=C1)N2CCN(CC2)CC(COC3=CC4=CC=CC=C4C=C3)O,1
CC1=C(C(=NO1)C(=O)NNC(=O)NC2=CC(=CC=C2)Cl)C3=CSC(=N3)C4=CSC(=N4)C,1
C1CC2=[N+](C=C(N2C1)C3=CC=CC=C3)CC(=O)NC4=NC(=CS4)C5=CC=C(C=C5)F.[Cl-],1
C1CC1C(C2=NN=NN2C3=CC4=C(C=C3)OCCO4)N5CCN(CC5)C/C=C/C6=CC=CC=C6,1
C1CN(CCN1CCC(=O)N/N=C/C2=C(C(=C(C=C2)O)O)O)C3=CC=CC=C3,1
C1=CC=C(C(=C1)CNCCC2=CNC3=CC=CC=C32)Cl,1
CCCN(CCC)CCNC(=O)C1=CC2=C(S1)N(N=C2C3=CC=C(C=C3)Cl)C,1
C1CCN(C1)S(=O)(=O)C2=CC(=C(C=C2)Cl)NC(=O)CNCC3=CC=CS3,1
CCCCC1=CC2=C(C=C1)NC=C2CCN.Cl,1
CCOC1=C(C=CC(=C1)CN2CCN(CC2)C3=NC=CC=N3)OC,1
COC1=CC=C(C=C1)CN2CCN(CC2)C(=O)C3=CC=CS3.C(=O)(C(=O)O)O,1
C1CN(CCN1CCC(=O)N/N=C/C2=CC=CC=C2OC(F)F)C3=CC=CC=C3,1
CC(C1=CC=C(C=C1)C(=O)C2=CC=CS2)C(=O)O,1
CCCCCC1=CC(=O)OC2=C1C(=CC(=C2C(CCN3CCN(CC3)C4=CC=CC=C4)C5=CC6=C(C=C5)OCO6)OC)OC,1
CCCN1CC[C@H]2[C@@H]1CCC3=C2C=C(C=C3)O.Br,1
C1CCC(CC1)C(=O)NCC(C2=CC=CO2)N3CCN(CC3)C4=CC=CC=C4F,1
COC1=CC=CC(=C1)C(=O)NNC(=O)CCN2CCN(CC2)C3=CC=CC=C3,1
CC(C)NC1=NC(=NC2=CC=CC=C21)C3=C(C(=CC=C3)OC)O,1
C1CNC[C@@H](C2=CC(=C(C=C21)O)O)C3=CC=CC=C3.Cl,1
C1CC2C(=O)N(C(=O)N2C1)CCCCN3CCN(CC3)C4=CC=CC=C4,1
CCCN1C(=C(C(=O)NC1=O)C(=O)CSC2=NN=C(N2C3CC3)C4=CC=CS4)N,1
C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C(=O)CN4C=NC5=CC=CC=C5C4=O,1
CNC[C@@H](C1=CC(=CC=C1)O)O.Cl,1
C1CN(CCN1CC(COC2=CC=C(C=C2)[N+](=O)[O-])O)C3=CC=CC=C3F,1
CC1=CC(=C(C=C1)C)C2C(=C(NC(=O)N2)CN3C=NC4=CC=CC=C43)C(=O)OC,1
C1CN(CCN1CC(COC2=CC=C(C=C2)S(=O)(=O)N3CCOCC3)O)C4=CC=CC=C4O,1
C1CCN(CC1)C(=O)C2CCN(CC2)CCCC3=CC=CC=C3.C(=O)(C(=O)O)O,1
CN(C)S(=O)(=O)C1=C(C=CC(=C1)NC(=O)CN2CCN(CC2)C3=CC=CC=C3)Cl,1
CCOC1=CC=C(C=C1)NC(=O)CCN2CCN(CC2)C3=CC=CC=C3F,1
CC(C)NNC(=O)C1=CC=NC=C1.OP(=O)(O)O,1
CSCCC(=O)N1CC[C@H]([C@@H](C1)O)N2CCN(CC2)C3=CC=CC=C3F,1
CCN1C2=CC=CC=C2N=C1N3CCN(CC3)S(=O)(=O)C4=CC=C(C=C4)OC,1
CC(=O)NCC1(CCN(CC1)CC2COC3=CC=CC=C3O2)C4=CC=CC=C4,1
C1CN(CCC1(CC2=CC=C(C=C2)Cl)CO)CCCC3=CC=CC=C3,1
CC1=CC=CC=C1C(=O)O/N=C(\C2=CC=CC=C2)/C3=CC=CC=N3,1
CC(=CC(=O)N1CC[C@H]([C@@H](C1)O)N2CCN(CC2)C3=CC=CC=C3F)C,1
CC1=C(N=C(O1)C2=C(C(=CC=C2)OC)OC)CN3CCN(CC3)C(=O)C4=CC=CO4,1
COC(=O)C1CCN(CC1)CC(=O)NC2=CC3=C(C=C2)OCCO3,1
CC1=CC=C(C=C1)C(=O)N/C(=C/C2=CC=CC=C2)/C(=O)NC(CC3=CC=CC=C3)C(=O)O,1
COC1=CC=CC(=C1)N2CCN(CC2)CC3=NC(=NC(=N3)N4CCCC5=CC=CC=C54)N,1
COC1=CC=C(C=C1)S(=O)(=O)N2CCC(CC2)N3CCN(CC3)CC4=CC=CC=C4.C(=O)(C(=O)O)O,1
C1CCC(CC1)N2C(CCC2=O)C(=O)NCCCN3CCN(CC3)C4=CC=CC=C4F,1
C/C(=C\C1=CC=CC=C1)/CN2CCN(CC2)C3=CC=CC=C3,1
CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C.Cl,1
C1CN(CCN1CC(COC2=CC=C(C=C2)S(=O)(=O)N3CCOCC3)O)C4=CC=CC=C4Cl,1
CC[C@H](C)[C@H]1C(=O)N[C@H]2CSSC[C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N1)CC(C)C)C(C)C)NC2=O,1
CC1=C(C(=CC=C1)OCC(CN2CCN(CC2)C3=CC=CC=N3)O)C.Cl,1
CC1=C(C2=C(C=C1)C(=C(O2)C(=O)NC3=C(N(N(C3=O)C4=CC=CC=C4)C)C)C)C,1
